Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2307,6.356864172,5.809165674,5.591449141,5.687172131,5.808265005,5.970278801,5.992948875,6.308234997,6.310656898,6.280244065,6.189582051,6.233832943
b2308,6.876570569,6.454501656,6.474695779,6.557619648,6.643286587,6.81237576,6.886311222,6.921882363,7.133248174,6.926687095,7.053044715,7.005787951
b2309,8.78842903,8.280856973,8.454779796,8.591361298,8.498521369,8.794862574,8.740814821,8.705699471,8.750098618,8.666895481,8.822883884,8.708726806
b2310,9.620257149,8.71737124,8.795381204,8.901222608,8.826421067,8.455542593,8.470335969,9.647427022,9.686107738,9.598217062,9.630829936,9.682489591
b2311,6.028941629,5.94370325,5.879144799,5.921544026,5.900124136,6.200267869,6.276967529,5.70945086,5.970620061,5.926475181,5.951247702,5.901506918
b2312,7.738941282,8.711275046,8.566208825,8.553094607,8.546215317,8.852204312,8.922866996,7.716408555,7.805555241,7.678591432,7.758590875,7.652951408
b2313,8.546945969,9.523055606,9.304323845,9.230577898,9.314799543,9.525325846,9.681476491,8.562173989,8.62823988,8.553628847,8.734826096,8.636961255
b2314,7.692526943,7.331498753,7.511790434,7.33690714,7.23990484,7.179877723,7.242978584,7.541330218,7.599843564,7.572702334,7.610043648,7.566754817
b2315,6.032681194,5.922892817,6.005505809,5.912468943,5.96271121,5.927477807,6.009637351,6.038014652,6.050608668,5.98961911,5.998090369,5.967098634
b2316,9.266108163,9.044779562,9.033376363,8.96970219,9.012731144,9.032633778,9.102162276,9.146934776,9.088621341,9.155925847,9.311041336,9.251345469
b2317,7.29102462,7.110411713,7.093866752,7.107101618,7.126579307,7.099794114,7.150233914,7.307525446,7.370899987,7.377604674,7.33038534,7.275826798
b2318,6.610089256,6.889923707,6.891703103,6.814650744,6.795137089,6.786517068,6.726613685,6.959927601,6.859675744,6.836950922,6.938595878,6.962676344
b2319,6.188916267,6.728396687,6.608961416,6.582052025,6.780880324,6.851643059,6.855544906,6.254104853,6.391063709,6.36195461,6.359673062,6.407087946
b2320,7.167071898,7.160094425,7.07393247,7.121305409,7.332240771,7.313640907,7.439611992,7.099180719,7.135594957,7.135490849,7.247120383,7.201648377
b2321,5.601079876,5.992806502,5.779134969,5.804407418,5.814432571,6.005542085,6.07403309,5.483042516,5.299773408,5.540194569,5.655237934,5.577910764
b2322,2.778145492,3.466665171,3.222453843,3.210553593,3.49088079,3.604168859,3.696366922,2.347289011,2.800507598,2.456197667,2.991830325,2.897554258
b2323,10.36809518,10.2121956,10.12190101,10.10777257,9.781443171,9.938912229,9.819022158,10.57228032,10.59000932,10.61028235,10.74211522,10.6405094
b2324,4.901169936,5.504530591,5.496888583,5.596524377,5.547386467,5.791913458,5.796560654,4.876116936,4.892456368,4.942613743,4.926763558,4.873728667
b2325,5.542203566,6.001176754,6.056408786,6.212190299,6.29210414,6.099453654,6.26363946,5.913635901,6.017444271,5.914095731,6.036886691,5.849771784
b2326,6.806756757,7.299735473,7.194557953,7.158447564,7.053142961,7.240977182,7.293366071,6.73495967,6.797025563,6.66105513,6.649072148,6.675097214
b2327,6.069373044,6.489904239,6.533518436,6.359759824,6.445653534,6.619940655,6.45671484,6.056730463,6.092393715,5.993870306,6.14777299,6.002185209
b2328,6.291064285,6.5029694,6.440352232,6.425984649,6.506187535,6.595428716,6.614641814,6.32161001,6.358578365,6.305231881,6.220120556,6.333862602
b2329,7.535749781,7.541595028,7.492387704,7.457091809,7.717213605,7.637175911,7.686136903,7.631521084,7.562314657,7.602960474,7.609135116,7.552064027
b2330,8.033758156,7.726455723,7.55101692,7.656476545,7.759213324,7.85958547,7.829486773,7.78752153,7.818232375,7.815811781,7.964415381,7.923818534
b2331,6.692285893,7.184367,7.174481382,7.184672166,7.343439757,7.351395885,7.290272139,6.718946855,6.579068655,6.565613525,6.82759341,6.531446985
